																		
Time	Accelerometer									GyroScope								
	Xn	Yn	Zn	X	Y	Z	Xg	Yg	Zg	Xn	Yn	Zn	X	Y	Z	Xg	Yg	Zg
smp#76	-3972	-1008	13976	-0.2424	-0.0615	0.853	-2.3774	-0.6033	8.3653	-203	103	33	-3.0992	1.5725	0.5038	-0.0541	0.0274	0.088
smp#77	-3912	-928	13940	-0.2388	-0.0566	0.8508	-2.3415	-0.5555	8.3438	-205	110	27	-3.1298	1.6794	0.4122	-0.0546	0.0293	0.072
smp#78	-3880	-996	13760	-0.2368	-0.0608	0.8398	-2.3224	-0.5962	8.2361	-184	96	39	-2.8092	1.4656	0.5954	-0.049	0.0256	0.0104
smp#79	-3888	-1036	13740	-0.2373	-0.0632	0.8386	-2.3272	-0.6201	8.2241	-197	106	34	-3.076	1.6183	0.5191	-0.0525	0.0282	0.091
smp#80	-3876	-964	13752	-0.2366	-0.0588	0.8394	-2.32	-0.577	8.2313	-206	108	41	-3.145	1.6489	0.626	-0.0549	0.0288	0.0109
smp#81	-3964	-964	13920	-0.2419	-0.0588	0.8496	-2.3727	-0.577	8.3318	-190	105	42	-2.9008	1.6031	0.6412	-0.0506	0.028	0.0112
smp#82	-3900	-976	13892	-0.238	-0.0596	0.8479	-2.3343	-0.5842	8.3151	-202	96	33	-3.084	1.4656	0.5038	-0.0538	0.0256	0.088
smp#83	-3904	-1068	13836	-0.2383	-0.0652	0.8445	-2.3367	-0.6393	8.2815	-199	112	31	-3.0382	1.7099	0.4733	-0.053	0.0298	0.083
smp#84	-3992	-1008	13888	-0.2437	-0.0615	0.8477	-2.3894	-0.6033	8.3127	-198	105	31	-3.0229	1.6031	0.4733	-0.0528	0.028	0.083
smp#85	-3912	-988	13796	-0.2388	-0.0603	0.842	-2.3415	-0.5914	8.2576	-196	108	31	-2.9924	1.6489	0.4733	-0.0522	0.0288	0.083
smp#86	-3876	-988	13804	-0.2366	-0.0603	0.8425	-2.32	-0.5914	8.2624	-188	104	30	-2.8702	1.5878	0.458	-0.0501	0.0277	0.08
smp#87	-3904	-916	13856	-0.2383	-0.0559	0.8457	-2.3367	-0.5483	8.2935	-194	99	27	-2.9618	1.5115	0.4122	-0.0517	0.0264	0.072
smp#88	-3880	-868	13752	-0.2368	-0.053	0.8394	-2.3224	-0.5195	8.2313	-195	110	30	-2.9771	1.6794	0.458	-0.052	0.0293	0.08
smp#89	-4000	-980	13884	-0.2441	-0.0598	0.8474	-2.3942	-0.5866	8.3103	-195	105	34	-2.9771	1.6031	0.5191	-0.052	0.028	0.091
smp#90	-4048	-992	13792	-0.2471	-0.0605	0.8418	-2.4229	-0.5938	8.2552	-195	114	37	-2.9771	1.7405	0.5649	-0.052	0.0304	0.099
smp#91	-3912	-952	13852	-0.2388	-0.0581	0.8455	-2.3415	-0.5698	8.2911	-194	96	28	-2.9618	1.4656	0.4275	-0.0517	0.0256	0.075
smp#92	-3940	-964	13832	-0.2405	-0.0588	0.8442	-2.3583	-0.577	8.2791	-198	111	28	-3.0229	1.6947	0.4275	-0.0528	0.0296	0.075
smp#93	-3964	-948	13808	-0.2419	-0.0579	0.8428	-2.3727	-0.5674	8.2648	-187	103	34	-2.855	1.5725	0.5191	-0.0498	0.0274	0.091
smp#94	-3928	-952	13780	-0.2397	-0.0581	0.8411	-2.3511	-0.5698	8.248	-188	102	39	-2.8702	1.5573	0.5954	-0.0501	0.0272	0.0104
smp#95	-4036	-992	13772	-0.2463	-0.0605	0.8406	-2.4157	-0.5938	8.2432	-190	104	49	-2.9008	1.5878	0.7481	-0.0506	0.0277	0.0131
smp#96	-3948	-1036	13644	-0.241	-0.0632	0.8328	-2.3631	-0.6201	8.1666	-202	106	37	-3.084	1.6183	0.5649	-0.0538	0.0282	0.099
smp#97	-4092	-956	13816	-0.2498	-0.0583	0.8433	-2.4493	-0.5722	8.2696	-198	114	30	-3.0229	1.7405	0.458	-0.0528	0.0304	0.08
smp#98	-3904	-1016	13852	-0.2383	-0.062	0.8455	-2.3367	-0.6081	8.2911	-202	95	28	-3.084	1.4504	0.4275	-0.0538	0.0253	0.075
smp#99	-3996	-1020	13944	-0.2439	-0.0623	0.8511	-2.3918	-0.6105	8.3462	-191	110	39	-2.916	1.6794	0.5954	-0.0509	0.0293	0.0104
smp#10	0 -3884	-864	13892	-0.2371	-0.0527	0.8479	-2.3248	-0.5171	8.3151	-206	97	31	-3.145	1.4809	0.4733	-0.0549	0.0258	0.083
