80#     8726    |-4432  |5344   |2710   |-5.3056        |6.3973 |3.2441 |-178   |86     |48     |-2.7176        |1.3130 |0.7328
81#     8834    |-4488  |5398   |2628   |-5.3726        |6.4620 |3.1460 |-176   |106    |42     |-2.6870        |1.6183 |0.6412
82#     8942    |-4466  |5340   |2734   |-5.3463        |6.3925 |3.2729 |-172   |83     |41     |-2.6260        |1.2672 |0.6260
83#     9050    |-4468  |5336   |2756   |-5.3486        |6.3877 |3.2992 |-194   |125    |45     |-2.9618        |1.9084 |0.6870
84#     9158    |-4522  |5322   |2744   |-5.4133        |6.3710 |3.2848 |-213   |128    |30     |-3.2519        |1.9542 |0.4580
85#     9266    |-4496  |5332   |2744   |-5.3822        |6.3829 |3.2848 |-224   |116    |35     |-3.4198        |1.7710 |0.5344
86#     9374    |-4450  |5378   |2768   |-5.3271        |6.4380 |3.3136 |-213   |120    |38     |-3.2519        |1.8321 |0.5802
87#     9506    |-4500  |5372   |2678   |-5.3870        |6.4308 |3.2058 |-212   |111    |41     |-3.2366        |1.6947 |0.6260
88#     9614    |-4480  |5380   |2800   |-5.3630        |6.4404 |3.3519 |-175   |87     |46     |-2.6718        |1.3282 |0.7023
89#     9722    |-4484  |5358   |2764   |-5.3678        |6.4141 |3.3088 |-152   |84     |46     |-2.3206        |1.2824 |0.7023
90#     9830    |-4550  |5342   |2776   |-5.4468        |6.3949 |3.3232 |-179   |96     |41     |-2.7328        |1.4656 |0.6260
91#     9938    |-4522  |5342   |2716   |-5.4133        |6.3949 |3.2513 |-171   |109    |32     |-2.6107        |1.6641 |0.4885
92#     10046   |-4524  |5358   |2724   |-5.4157        |6.4141 |3.2609 |-218   |126    |24     |-3.3282        |1.9237 |0.3664
93#     10154   |-4502  |5328   |2750   |-5.3893        |6.3782 |3.2920 |-230   |127    |29     |-3.5115        |1.9389 |0.4427
94#     10262   |-4476  |5322   |2700   |-5.3582        |6.3710 |3.2322 |-215   |103    |35     |-3.2824        |1.5725 |0.5344
95#     10370   |-4460  |5364   |2818   |-5.3391        |6.4212 |3.3734 |-169   |96     |40     |-2.5802        |1.4656 |0.6107
96#     10502   |-4454  |5394   |2686   |-5.3319        |6.4572 |3.2154 |-178   |94     |32     |-2.7176        |1.4351 |0.4885
97#     10610   |-4438  |5344   |2656   |-5.3127        |6.3973 |3.1795 |-173   |103    |47     |-2.6412        |1.5725 |0.7176
98#     10718   |-4530  |5336   |2730   |-5.4229        |6.3877 |3.2681 |-163   |104    |41     |-2.4885        |1.5878 |0.6260
99#     10826   |-4538  |5326   |2686   |-5.4324        |6.3758 |3.2154 |-213   |122    |28     |-3.2519        |1.8626 |0.4275
100#    10934   |-4510  |5376   |2716   |-5.3989        |6.4356 |3.2513 |-242   |122    |29     |-3.6947        |1.8626 |0.4427
